,NAME,Total Commuters,Driving Alone,Carpooling,Public Transportation,Walking,Cycling,Other Means,Worked from Home,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total Population,Median Income,Poverty Count,Median Age,Total Housing Units,Housing Units,Occupied Housing Units,Median Housing Value,Average Household Size,Median Gross Rent,state,county,tract,Poverty Rate,Labor Force 16-19,Labor Force 20-24,Labor Force 25-29,Labor Force 30-34,Labor Force 35-39,Labor Force 40-44,Labor Force 45-49,Labor Force 50-54,Housing Density,Housing Availability
18,"Census Tract 306, Allegan County, Michigan",2495.0,2190.0,2051.0,34.0,0.0,59.0,0.0,0.0,4863.0,63.0,26.0,0.0,0.0,16.0,306.0,5274.0,1392.0,549.0,41.3,2083.0,2083.0,1956.0,175800.0,2.7,336514800.0,26,005,030600,10.409556313993173,64,279,357,553,63,126,0,0,394.9563898369359,6.096975516082574
19,"Census Tract 307.02, Allegan County, Michigan",2393.0,2216.0,2003.0,8.0,9.0,0.0,0.0,0.0,4744.0,28.0,11.0,29.0,0.0,4.0,133.0,4949.0,1423.0,407.0,41.0,1968.0,1968.0,1731.0,195900.0,2.86,326790000.0,26,005,030702,8.22388361285108,76,215,386,512,79,128,0,0,397.6560921398262,12.042682926829269
20,"Census Tract 307.03, Allegan County, Michigan",1353.0,1198.0,1060.0,0.0,0.0,0.0,0.0,0.0,2493.0,30.0,0.0,0.0,0.0,278.0,327.0,3128.0,738.0,560.0,36.5,1216.0,1216.0,1017.0,129600.0,3.08,121400300.0,26,005,030703,17.902813299232736,21,186,137,298,62,75,0,0,388.74680306905367,16.365131578947366
21,"Census Tract 307.04, Allegan County, Michigan",2594.0,2370.0,2128.0,31.0,0.0,25.0,0.0,0.0,4690.0,20.0,0.0,0.0,0.0,121.0,315.0,5146.0,1340.0,517.0,35.9,1831.0,1831.0,1739.0,210100.0,2.94,338236000.0,26,005,030704,10.046638165565486,72,245,474,465,120,92,0,0,355.81033812670034,5.024576734025123
22,"Census Tract 308.01, Allegan County, Michigan",946.0,756.0,723.0,0.0,0.0,4.0,3.0,0.0,1852.0,0.0,26.0,0.0,0.0,27.0,17.0,1922.0,610.0,66.0,55.0,1888.0,1888.0,968.0,395200.0,1.99,385697100.0,26,005,030801,3.433922996878252,29,20,134,243,16,39,0,0,982.3100936524454,48.728813559322035
23,"Census Tract 308.02, Allegan County, Michigan",1474.0,1220.0,1187.0,0.0,8.0,0.0,0.0,0.0,2905.0,21.0,14.0,30.0,0.0,2.0,343.0,3315.0,898.0,117.0,50.9,1895.0,1895.0,1385.0,299500.0,2.35,548493100.0,26,005,030802,3.5294117647058822,33,70,208,343,57,195,0,0,571.6440422322776,26.912928759894463
24,"Census Tract 309.01, Allegan County, Michigan",1299.0,1019.0,944.0,22.0,0.0,11.0,0.0,0.0,2694.0,0.0,0.0,4.0,0.0,20.0,91.0,2809.0,800.0,100.0,53.2,1950.0,1950.0,1097.0,215800.0,2.48,415283000.0,26,005,030901,3.5599857600569598,27,67,233,209,50,115,0,0,694.1972232111071,43.743589743589745
25,"Census Tract 309.02, Allegan County, Michigan",1173.0,989.0,891.0,4.0,0.0,7.0,0.0,0.0,2290.0,13.0,2.0,15.0,0.0,95.0,148.0,2563.0,776.0,236.0,52.7,1649.0,1649.0,1029.0,191300.0,2.48,,26,005,030902,9.207959422551697,66,99,136,207,34,112,0,0,643.3866562621927,37.598544572468164
26,"Census Tract 310.01, Allegan County, Michigan",712.0,673.0,598.0,0.0,0.0,0.0,0.0,0.0,2465.0,0.0,25.0,0.0,0.0,510.0,34.0,3034.0,589.0,1036.0,31.9,1223.0,1223.0,861.0,60600.0,3.51,,26,005,031001,34.146341463414636,53,0,135,120,14,0,0,0,403.09822017139095,29.599345870809486
27,"Census Tract 310.02, Allegan County, Michigan",1589.0,1495.0,1216.0,0.0,0.0,0.0,0.0,0.0,2706.0,44.0,8.0,0.0,0.0,11.0,395.0,3164.0,806.0,299.0,41.6,1775.0,1775.0,1155.0,124000.0,2.63,,26,005,031002,9.450063211125158,172,66,325,235,47,63,0,0,560.9987357774968,34.92957746478873
28,"Census Tract 311.01, Allegan County, Michigan",1623.0,1549.0,1341.0,0.0,0.0,0.0,0.0,0.0,3114.0,48.0,17.0,45.0,0.0,12.0,288.0,3524.0,945.0,243.0,37.2,1545.0,1545.0,1302.0,156300.0,2.64,,26,005,031101,6.895573212258797,0,248,205,267,108,127,0,0,438.422247446084,15.728155339805824
29,"Census Tract 311.02, Allegan County, Michigan",1223.0,1039.0,857.0,0.0,0.0,0.0,0.0,0.0,2998.0,27.0,0.0,1.0,0.0,40.0,138.0,3204.0,918.0,588.0,46.4,1379.0,1379.0,1214.0,144800.0,2.57,,26,005,031102,18.352059925093634,30,101,160,209,129,85,0,0,430.3995006242197,11.965192168237854
30,"Census Tract 312, Allegan County, Michigan",2128.0,1964.0,1788.0,0.0,0.0,0.0,0.0,0.0,4960.0,274.0,18.0,119.0,0.0,42.0,221.0,5634.0,1419.0,872.0,32.3,2204.0,2204.0,2091.0,140800.0,2.58,,26,005,031200,15.477458288959886,88,225,397,312,75,50,0,0,391.1963081292155,5.127041742286751
31,"Census Tract 313, Allegan County, Michigan",2223.0,2116.0,1988.0,0.0,3.0,0.0,0.0,0.0,4614.0,48.0,24.0,80.0,0.0,7.0,100.0,4873.0,1304.0,631.0,41.3,1941.0,1941.0,1807.0,166400.0,2.69,277908900.0,26,005,031300,12.948902113687666,116,123,443,375,108,102,0,0,398.3172583624051,6.903657908294693
32,"Census Tract 318, Allegan County, Michigan",2464.0,2302.0,2065.0,0.0,0.0,0.0,0.0,0.0,4644.0,49.0,7.0,7.0,0.0,0.0,581.0,5288.0,1353.0,246.0,40.7,2022.0,2022.0,1954.0,147900.0,2.7,266625900.0,26,005,031800,4.652042360060514,105,199,408,333,202,73,0,0,382.375189107413,3.3630069238377844
33,"Census Tract 319, Allegan County, Michigan",2096.0,2020.0,1708.0,0.0,0.0,0.0,0.0,0.0,3972.0,0.0,56.0,68.0,0.0,412.0,233.0,4741.0,1450.0,615.0,39.8,2209.0,2209.0,1886.0,138900.0,2.51,,26,005,031900,12.971946846656824,47,109,440,415,177,112,0,0,465.93545665471424,14.622000905387052
34,"Census Tract 320, Allegan County, Michigan",2488.0,2287.0,1698.0,0.0,0.0,0.0,0.0,0.0,5101.0,79.0,0.0,13.0,0.0,37.0,66.0,5296.0,1436.0,336.0,40.5,2142.0,2142.0,2086.0,154100.0,2.47,,26,005,032000,6.3444108761329305,100,217,467,304,102,63,0,0,404.4561933534743,2.6143790849673203
35,"Census Tract 321, Allegan County, Michigan",2110.0,1959.0,1842.0,0.0,10.0,0.0,0.0,0.0,4172.0,25.0,75.0,0.0,0.0,37.0,208.0,4517.0,1318.0,205.0,42.6,1828.0,1828.0,1717.0,195300.0,2.62,,26,005,032100,4.538410449413328,74,213,345,398,92,54,0,0,404.6933805623201,6.072210065645514
36,"Census Tract 322, Allegan County, Michigan",2622.0,2278.0,2103.0,0.0,0.0,0.0,0.0,0.0,4821.0,330.0,0.0,61.0,0.0,202.0,187.0,5601.0,1399.0,615.0,38.7,2571.0,2571.0,2163.0,186500.0,2.49,338908200.0,26,005,032200,10.98018211033744,187,275,391,477,73,78,0,0,459.02517407605785,15.869311551925321
37,"Census Tract 324.01, Allegan County, Michigan",768.0,658.0,600.0,4.0,0.0,0.0,0.0,0.0,1014.0,20.0,0.0,47.0,0.0,278.0,325.0,1684.0,432.0,218.0,34.7,672.0,672.0,654.0,104200.0,2.57,,26,005,032401,12.945368171021377,50,33,203,135,23,20,0,0,399.04988123515443,2.6785714285714284
38,"Census Tract 324.02, Allegan County, Michigan",2058.0,1888.0,1827.0,0.0,0.0,0.0,0.0,0.0,3953.0,24.0,60.0,55.0,0.0,34.0,91.0,4217.0,1190.0,300.0,36.0,1601.0,1601.0,1464.0,235400.0,2.88,340518100.0,26,005,032402,7.11406212947593,32,167,332,368,97,117,0,0,379.6537823096989,8.557151780137415
39,"Census Tract 326, Allegan County, Michigan",672.0,590.0,555.0,0.0,0.0,0.0,0.0,0.0,1212.0,53.0,10.0,6.0,0.0,25.0,102.0,1408.0,430.0,170.0,52.1,758.0,758.0,669.0,198800.0,2.1,,26,005,032600,12.073863636363637,21,46,63,74,28,50,0,0,538.3522727272727,11.741424802110819
40,"Census Tract 9900, Allegan County, Michigan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,0.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0,26,005,990000,,0,0,0,0,0,0,0,0,,
41,"Census Tract 1.01, Alpena County, Michigan",458.0,439.0,417.0,0.0,0.0,0.0,0.0,0.0,1209.0,0.0,0.0,0.0,0.0,3.0,3.0,1215.0,363.0,189.0,54.9,885.0,885.0,557.0,112100.0,2.18,,26,007,000101,15.555555555555555,15,59,53,85,26,60,0,0,728.395061728395,37.06214689265537
42,"Census Tract 1.02, Alpena County, Michigan",1143.0,1030.0,909.0,0.0,0.0,0.0,0.0,0.0,3165.0,2.0,4.0,0.0,0.0,4.0,110.0,3285.0,925.0,395.0,44.7,2000.0,2000.0,1246.0,113700.0,2.63,151341500.0,26,007,000102,12.02435312024353,31,132,148,163,48,144,0,0,608.8280060882801,37.7
43,"Census Tract 2, Alpena County, Michigan",1799.0,1569.0,1488.0,0.0,0.0,0.0,0.0,0.0,3939.0,4.0,23.0,22.0,0.0,78.0,48.0,4114.0,1124.0,475.0,50.1,2160.0,2160.0,1607.0,116600.0,2.56,,26,007,000200,11.545940690325716,150,178,203,278,110,149,0,2,525.0364608653379,25.601851851851855
44,"Census Tract 3, Alpena County, Michigan",1522.0,1243.0,1200.0,0.0,7.0,0.0,0.0,0.0,3109.0,48.0,0.0,18.0,0.0,25.0,231.0,3431.0,926.0,340.0,51.0,2008.0,2008.0,1492.0,151900.0,2.2,,26,007,000300,9.909647333139027,64,119,222,287,123,175,0,0,585.2521130865637,25.697211155378486
45,"Census Tract 4, Alpena County, Michigan",1404.0,1198.0,1034.0,0.0,37.0,0.0,0.0,0.0,2720.0,60.0,23.0,0.0,0.0,0.0,98.0,2901.0,549.0,553.0,42.0,1433.0,1433.0,1291.0,61100.0,2.21,,26,007,000400,19.062392278524648,61,203,223,183,51,17,0,0,493.96759738021376,9.909281228192603
46,"Census Tract 5, Alpena County, Michigan",763.0,603.0,582.0,0.0,9.0,0.0,0.0,0.0,1694.0,11.0,10.0,5.0,0.0,0.0,146.0,1866.0,485.0,555.0,40.7,1021.0,1021.0,899.0,73300.0,2.04,31665200.0,26,007,000500,29.7427652733119,23,28,181,130,44,58,0,0,547.1596998928188,11.949069539666993
47,"Census Tract 6, Alpena County, Michigan",1153.0,1116.0,1073.0,0.0,16.0,0.0,0.0,0.0,2964.0,31.0,4.0,74.0,0.0,0.0,38.0,3111.0,772.0,405.0,48.9,1527.0,1527.0,1377.0,151300.0,2.12,,26,007,000600,13.018322082931533,40,119,240,195,30,68,0,0,490.8389585342333,9.823182711198427
48,"Census Tract 7, Alpena County, Michigan",1180.0,1135.0,1069.0,0.0,10.0,0.0,0.0,0.0,2874.0,11.0,0.0,17.0,0.0,0.0,116.0,3018.0,787.0,632.0,48.1,1286.0,1286.0,1254.0,99700.0,2.39,118138500.0,26,007,000700,20.941020543406232,36,165,173,190,30,77,0,0,426.11000662690526,2.488335925349922
49,"Census Tract 8, Alpena County, Michigan",1435.0,1228.0,1181.0,0.0,0.0,0.0,0.0,0.0,3243.0,2.0,0.0,0.0,0.0,0.0,44.0,3289.0,848.0,406.0,46.5,1800.0,1800.0,1652.0,108900.0,1.98,,26,007,000800,12.344177561568866,17,39,385,126,61,71,0,0,547.2788081483733,8.222222222222223
50,"Census Tract 9, Alpena County, Michigan",966.0,821.0,764.0,0.0,10.0,0.0,0.0,0.0,2546.0,22.0,0.0,5.0,25.0,23.0,62.0,2683.0,761.0,279.0,54.0,1562.0,1562.0,1209.0,125700.0,2.21,150545100.0,26,007,000900,10.398807305255312,8,78,105,221,60,143,0,0,582.1841222512114,22.59923175416133
51,"Census Tract 9900, Alpena County, Michigan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,0.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0,26,007,990000,,0,0,0,0,0,0,0,0,,
52,"Census Tract 9601, Antrim County, Michigan",1227.0,1098.0,1002.0,0.0,0.0,0.0,0.0,0.0,2658.0,16.0,22.0,2.0,0.0,0.0,60.0,2758.0,859.0,157.0,53.2,2128.0,2128.0,1192.0,188000.0,2.28,326505300.0,26,009,960100,5.692530819434373,36,116,198,213,89,121,0,0,771.5736040609137,43.984962406015036
53,"Census Tract 9602, Antrim County, Michigan",1423.0,1195.0,1063.0,6.0,2.0,0.0,0.0,0.0,2967.0,0.0,64.0,24.0,0.0,19.0,83.0,3157.0,1001.0,243.0,50.3,1978.0,1978.0,1345.0,137600.0,2.35,239930300.0,26,009,960200,7.697180867912576,69,119,205,242,62,130,0,0,626.5441875197972,32.00202224469161
54,"Census Tract 9603, Antrim County, Michigan",1139.0,966.0,803.0,0.0,2.0,0.0,0.0,0.0,2725.0,1.0,16.0,4.0,0.0,4.0,76.0,2826.0,843.0,302.0,54.8,2251.0,2251.0,1240.0,166300.0,2.27,295509100.0,26,009,960300,10.686482661004954,30,66,156,181,56,125,0,0,796.5322009907997,44.91337183474012
55,"Census Tract 9604.01, Antrim County, Michigan",280.0,242.0,210.0,0.0,0.0,0.0,0.0,0.0,866.0,7.0,0.0,0.0,0.0,0.0,24.0,897.0,239.0,77.0,61.1,1376.0,1376.0,402.0,233800.0,1.94,,26,009,960401,8.58416945373467,8,5,45,47,27,32,0,0,1534.0022296544034,70.78488372093024
56,"Census Tract 9604.02, Antrim County, Michigan",992.0,805.0,676.0,0.0,0.0,0.0,0.0,0.0,2000.0,7.0,7.0,14.0,0.0,16.0,101.0,2145.0,629.0,236.0,54.2,1583.0,1583.0,985.0,189400.0,2.14,,26,009,960402,11.002331002331003,44,100,125,175,60,34,0,0,737.995337995338,37.7763739734681
57,"Census Tract 9605.01, Antrim County, Michigan",929.0,757.0,641.0,0.0,0.0,0.0,0.0,0.0,1825.0,2.0,37.0,0.0,0.0,99.0,43.0,2006.0,632.0,196.0,52.5,1716.0,1716.0,843.0,278000.0,2.37,,26,009,960501,9.770687936191425,10,26,120,206,59,78,0,0,855.4336989032902,50.87412587412587
58,"Census Tract 9605.02, Antrim County, Michigan",576.0,518.0,458.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,7.0,3.0,0.0,8.0,82.0,1328.0,404.0,68.0,54.5,1018.0,1018.0,610.0,190700.0,2.18,141506200.0,26,009,960502,5.120481927710843,7,25,71,119,29,59,0,0,766.5662650602409,40.078585461689585
59,"Census Tract 9606, Antrim County, Michigan",1430.0,1191.0,983.0,0.0,3.0,0.0,0.0,0.0,3082.0,2.0,0.0,20.0,0.0,5.0,92.0,3201.0,1029.0,194.0,57.0,2441.0,2441.0,1483.0,305600.0,2.15,,26,009,960600,6.0606060606060606,37,88,182,250,77,138,0,0,762.5741955638863,39.24621056943876
60,"Census Tract 9607.01, Antrim County, Michigan",1375.0,1269.0,1162.0,0.0,0.0,0.0,0.0,0.0,3063.0,6.0,70.0,3.0,0.0,0.0,52.0,3194.0,886.0,434.0,40.7,2251.0,2251.0,1291.0,117300.0,2.47,,26,009,960701,13.587977457733249,46,173,189,246,98,77,0,0,704.7589229805886,42.64771212794314
61,"Census Tract 9607.02, Antrim County, Michigan",783.0,717.0,607.0,2.0,24.0,0.0,0.0,0.0,1850.0,2.0,0.0,6.0,0.0,10.0,47.0,1915.0,484.0,379.0,33.9,821.0,821.0,717.0,79800.0,2.66,,26,009,960702,19.7911227154047,32,58,119,92,11,33,0,0,428.7206266318538,12.667478684531059
62,"Census Tract 9900, Antrim County, Michigan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,0.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0,26,009,990000,,0,0,0,0,0,0,0,0,,
63,"Census Tract 9701, Arenac County, Michigan",784.0,733.0,647.0,2.0,0.0,0.0,0.0,0.0,2132.0,0.0,30.0,1.0,0.0,3.0,41.0,2207.0,600.0,297.0,53.7,1738.0,1738.0,960.0,91400.0,2.3,118842400.0,26,011,970100,13.457181694608064,33,57,96,176,57,74,0,0,787.4943362029906,44.76409666283084
64,"Census Tract 9702, Arenac County, Michigan",1269.0,1110.0,1038.0,3.0,0.0,0.0,0.0,0.0,3055.0,12.0,8.0,12.0,0.0,3.0,84.0,3174.0,834.0,398.0,48.0,1826.0,1826.0,1265.0,119900.0,2.45,,26,011,970200,12.539382482671707,49,92,232,203,83,141,0,0,575.2993068683049,30.72289156626506
65,"Census Tract 9703, Arenac County, Michigan",1151.0,1091.0,1031.0,3.0,9.0,0.0,0.0,0.0,2761.0,39.0,26.0,0.0,0.0,18.0,40.0,2884.0,747.0,320.0,49.0,1465.0,1465.0,1100.0,86700.0,2.62,110332600.0,26,011,970300,11.095700416088766,25,101,191,168,117,87,0,0,507.9750346740638,24.914675767918087
66,"Census Tract 9704, Arenac County, Michigan",887.0,800.0,728.0,3.0,3.0,0.0,0.0,0.0,2611.0,16.0,4.0,2.0,0.0,3.0,118.0,2754.0,766.0,471.0,56.8,2501.0,2501.0,1314.0,124900.0,2.08,,26,011,970400,17.10239651416122,6,31,82,174,52,153,0,6,908.1336238198983,47.4610155937625
67,"Census Tract 9705, Arenac County, Michigan",1741.0,1587.0,1475.0,0.0,7.0,0.0,0.0,0.0,3746.0,6.0,62.0,21.0,0.0,0.0,155.0,3990.0,975.0,586.0,44.1,2000.0,2000.0,1653.0,93200.0,2.36,138465600.0,26,011,970500,14.68671679197995,165,157,211,275,78,114,0,0,501.25313283208015,17.349999999999998
68,"Census Tract 9900, Arenac County, Michigan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,0.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0,26,011,990000,,0,0,0,0,0,0,0,0,,
69,"Census Tract 9901, Arenac County, Michigan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,0.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0,26,011,990100,,0,0,0,0,0,0,0,0,,
70,"Census Tract 1, Baraga County, Michigan",1577.0,1472.0,1307.0,5.0,0.0,0.0,0.0,0.0,3379.0,37.0,378.0,28.0,0.0,8.0,276.0,4106.0,1088.0,486.0,49.3,2650.0,2650.0,1709.0,94500.0,2.33,179605100.0,26,013,000100,11.836337067705797,89,161,251,276,47,133,0,0,645.3969800292256,35.509433962264154
71,"Census Tract 2, Baraga County, Michigan",1378.0,1308.0,1133.0,0.0,2.0,0.0,0.0,0.0,2653.0,586.0,515.0,24.0,10.0,19.0,336.0,4143.0,958.0,496.0,42.6,2432.0,2432.0,1455.0,120300.0,2.26,,26,013,000200,11.972000965483948,46,214,158,223,24,95,0,0,587.0142408882452,40.17269736842105
72,"Census Tract 9901, Baraga County, Michigan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,0.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0,26,013,990100,,0,0,0,0,0,0,0,0,,
73,"Census Tract 101, Barry County, Michigan",2314.0,2063.0,1908.0,17.0,4.0,0.0,0.0,0.0,5586.0,0.0,16.0,5.0,0.0,25.0,52.0,5684.0,1486.0,867.0,42.8,2555.0,2555.0,2363.0,139000.0,2.41,460212400.0,26,015,010100,15.253342716396903,63,215,484,396,118,162,0,0,449.50738916256154,7.514677103718199
74,"Census Tract 102, Barry County, Michigan",2708.0,2510.0,2328.0,0.0,0.0,0.0,0.0,0.0,5570.0,4.0,5.0,125.0,0.0,29.0,67.0,5800.0,1560.0,290.0,37.2,2210.0,2210.0,2074.0,205400.0,2.8,518642900.0,26,015,010200,5.0,95,183,527,555,127,111,0,0,381.0344827586207,6.153846153846154
75,"Census Tract 103.01, Barry County, Michigan",2108.0,1837.0,1613.0,18.0,1.0,0.0,0.0,0.0,3311.0,2.0,0.0,12.0,0.0,107.0,434.0,3866.0,1032.0,523.0,34.9,1615.0,1615.0,1615.0,166800.0,2.39,,26,015,010301,13.528194516295914,67,362,336,417,53,33,0,0,417.74443869632694,0.0
