NAME,Total Commuters,Driving Alone,Carpooling,Public Transportation,Walking,Cycling,Other Means,Worked from Home,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total Population,Median Income,Poverty Count,Median Age,Total Housing Units,Housing Units,Occupied Housing Units,Median Housing Value,Average Household Size,Median Gross Rent,state,county,tract,Poverty Rate,Labor Force 16-19,Labor Force 20-24,Labor Force 25-29,Labor Force 30-34,Labor Force 35-39,Labor Force 40-44,Labor Force 45-49,Labor Force 50-54,Labor Force Total,Housing Density,Housing Availability,Total Population,state_fips,county_fips,tract_code,GEOID,lat,lon,walkscore,bikescore,transitscore,walkscore_description,bikescore_description,transitscore_description
"Census Tract 302, Allegan County, Michigan",1595.0,1435.0,1334.0,0.0,0.0,0.0,0.0,0.0,3227.0,56.0,0.0,71.0,0.0,41.0,14.0,3409.0,1043.0,62.0,48.4,1538.0,1538.0,1282.0,324500.0,2.66,,26,5,30200,1.818715165737753,30,82,242,372,58,89,0,0,873,451.1586975652684,16.644993498049416,3409.0,26,5,30200,26005030200,42.740581906756766,-86.17658667914877,0.0,32.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 303.01, Allegan County, Michigan",1450.0,1336.0,1247.0,6.0,0.0,0.0,0.0,0.0,3071.0,0.0,0.0,12.0,0.0,2.0,25.0,3110.0,815.0,99.0,33.8,1021.0,1021.0,976.0,256000.0,3.19,,26,5,30301,3.183279742765273,84,114,291,285,50,33,0,0,857,328.2958199356913,4.407443682664055,3110.0,26,5,30301,26005030301,42.72469116604776,-85.95679462587837,0.0,25.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 303.02, Allegan County, Michigan",2440.0,2129.0,2114.0,0.0,0.0,0.0,0.0,0.0,4977.0,2.0,0.0,0.0,0.0,35.0,40.0,5054.0,1419.0,91.0,41.0,2040.0,2040.0,1899.0,240800.0,2.66,431980000.0,26,5,30302,1.8005540166204987,159,167,643,449,91,47,0,0,1556,403.6406806489909,6.911764705882353,5054.0,26,5,30302,26005030302,42.72467006883929,-85.8396543040607,16.0,40.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 304.02, Allegan County, Michigan",3571.0,3162.0,3070.0,0.0,0.0,0.0,0.0,0.0,6104.0,54.0,19.0,139.0,0.0,0.0,339.0,6655.0,1999.0,226.0,35.3,2497.0,2497.0,2349.0,256600.0,2.83,,26,5,30402,3.395942900075132,64,273,557,660,76,56,0,0,1686,375.2066115702479,5.927112535042051,6655.0,26,5,30402,26005030402,42.726062257655926,-85.60354153959204,0.0,25.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 304.03, Allegan County, Michigan",2088.0,1960.0,1790.0,0.0,0.0,0.0,0.0,0.0,4493.0,0.0,0.0,0.0,0.0,0.0,28.0,4521.0,1224.0,427.0,32.1,1631.0,1631.0,1540.0,213800.0,2.93,376997800.0,26,5,30403,9.444813094448133,82,96,572,439,44,72,0,0,1305,360.7608936076089,5.579399141630901,4521.0,26,5,30403,26005030403,42.74200113440867,-85.71027608253699,0.0,25.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 304.04, Allegan County, Michigan",1842.0,1680.0,1604.0,0.0,0.0,0.0,0.0,0.0,3134.0,0.0,34.0,63.0,0.0,0.0,98.0,3329.0,973.0,82.0,40.4,1215.0,1215.0,1151.0,210400.0,2.89,217625600.0,26,5,30404,2.463202162811655,90,158,287,433,47,62,0,0,1077,364.9744668068489,5.267489711934156,3329.0,26,5,30404,26005030404,42.705919969960455,-85.73514619212094,3.0,12.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 305.01, Allegan County, Michigan",1355.0,1266.0,1194.0,0.0,0.0,0.0,0.0,0.0,2741.0,34.0,8.0,17.0,0.0,13.0,338.0,3151.0,1031.0,185.0,45.3,1269.0,1269.0,1137.0,266900.0,2.77,296205300.0,26,5,30501,5.87115201523326,107,58,235,290,142,137,0,0,969,402.7292922881625,10.401891252955082,3151.0,26,5,30501,26005030501,42.63300384402523,-85.59632077766085,0.0,23.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 305.02, Allegan County, Michigan",2536.0,2125.0,1974.0,0.0,1.0,0.0,0.0,0.0,4522.0,201.0,13.0,0.0,0.0,21.0,141.0,4898.0,1161.0,425.0,33.0,1975.0,1975.0,1961.0,143300.0,2.45,,26,5,30502,8.677011024908126,67,338,355,350,124,46,0,0,1280,403.2258064516129,0.7088607594936709,4898.0,26,5,30502,26005030502,42.66620951497887,-85.63838621009491,19.0,27.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 306, Allegan County, Michigan",2495.0,2190.0,2051.0,34.0,0.0,59.0,0.0,0.0,4863.0,63.0,26.0,0.0,0.0,16.0,306.0,5274.0,1392.0,549.0,41.3,2083.0,2083.0,1956.0,175800.0,2.7,336514800.0,26,5,30600,10.409556313993171,64,279,357,553,63,126,0,0,1442,394.9563898369359,6.096975516082574,5274.0,26,5,30600,26005030600,42.63787479197124,-85.78069936367409,4.0,20.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 307.02, Allegan County, Michigan",2393.0,2216.0,2003.0,8.0,9.0,0.0,0.0,0.0,4744.0,28.0,11.0,29.0,0.0,4.0,133.0,4949.0,1423.0,407.0,41.0,1968.0,1968.0,1731.0,195900.0,2.86,326790000.0,26,5,30702,8.22388361285108,76,215,386,512,79,128,0,0,1396,397.6560921398262,12.042682926829269,4949.0,26,5,30702,26005030702,42.59108557284274,-85.95255468799762,0.0,25.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 307.03, Allegan County, Michigan",1353.0,1198.0,1060.0,0.0,0.0,0.0,0.0,0.0,2493.0,30.0,0.0,0.0,0.0,278.0,327.0,3128.0,738.0,560.0,36.5,1216.0,1216.0,1017.0,129600.0,3.08,121400300.0,26,5,30703,17.902813299232736,21,186,137,298,62,75,0,0,779,388.74680306905367,16.365131578947366,3128.0,26,5,30703,26005030703,42.5504830805848,-86.07281167594057,0.0,25.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 307.04, Allegan County, Michigan",2594.0,2370.0,2128.0,31.0,0.0,25.0,0.0,0.0,4690.0,20.0,0.0,0.0,0.0,121.0,315.0,5146.0,1340.0,517.0,35.9,1831.0,1831.0,1739.0,210100.0,2.94,338236000.0,26,5,30704,10.046638165565486,72,245,474,465,120,92,0,0,1468,355.81033812670034,5.024576734025123,5146.0,26,5,30704,26005030704,42.63544314042677,-86.06217823033741,0.0,25.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 308.01, Allegan County, Michigan",946.0,756.0,723.0,0.0,0.0,4.0,3.0,0.0,1852.0,0.0,26.0,0.0,0.0,27.0,17.0,1922.0,610.0,66.0,55.0,1888.0,1888.0,968.0,395200.0,1.99,385697100.0,26,5,30801,3.433922996878252,29,20,134,243,16,39,0,0,481,982.3100936524454,48.72881355932204,1922.0,26,5,30801,26005030801,42.65778938180678,-86.19862630917385,59.0,58.0,,Somewhat Walkable,Bikeable,
"Census Tract 308.02, Allegan County, Michigan",1474.0,1220.0,1187.0,0.0,8.0,0.0,0.0,0.0,2905.0,21.0,14.0,30.0,0.0,2.0,343.0,3315.0,898.0,117.0,50.9,1895.0,1895.0,1385.0,299500.0,2.35,548493100.0,26,5,30802,3.5294117647058822,33,70,208,343,57,195,0,0,906,571.6440422322776,26.912928759894463,3315.0,26,5,30802,26005030802,42.62817247611814,-86.17184201194868,0.0,25.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 309.01, Allegan County, Michigan",1299.0,1019.0,944.0,22.0,0.0,11.0,0.0,0.0,2694.0,0.0,0.0,4.0,0.0,20.0,91.0,2809.0,800.0,100.0,53.2,1950.0,1950.0,1097.0,215800.0,2.48,415283000.0,26,5,30901,3.55998576005696,27,67,233,209,50,115,0,0,701,694.1972232111071,43.74358974358975,2809.0,26,5,30901,26005030901,42.460977308089525,-86.19297711608317,6.0,25.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 309.02, Allegan County, Michigan",1173.0,989.0,891.0,4.0,0.0,7.0,0.0,0.0,2290.0,13.0,2.0,15.0,0.0,95.0,148.0,2563.0,776.0,236.0,52.7,1649.0,1649.0,1029.0,191300.0,2.48,,26,5,30902,9.207959422551696,66,99,136,207,34,112,0,0,654,643.3866562621927,37.59854457246816,2563.0,26,5,30902,26005030902,42.54820014254813,-86.18438417479891,4.0,20.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 310.01, Allegan County, Michigan",712.0,673.0,598.0,0.0,0.0,0.0,0.0,0.0,2465.0,0.0,25.0,0.0,0.0,510.0,34.0,3034.0,589.0,1036.0,31.9,1223.0,1223.0,861.0,60600.0,3.51,,26,5,31001,34.14634146341464,53,0,135,120,14,0,0,0,322,403.09822017139095,29.599345870809486,3034.0,26,5,31001,26005031001,42.47147955878436,-86.09309659743722,1.0,27.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 310.02, Allegan County, Michigan",1589.0,1495.0,1216.0,0.0,0.0,0.0,0.0,0.0,2706.0,44.0,8.0,0.0,0.0,11.0,395.0,3164.0,806.0,299.0,41.6,1775.0,1775.0,1155.0,124000.0,2.63,,26,5,31002,9.450063211125158,172,66,325,235,47,63,0,0,908,560.9987357774968,34.92957746478873,3164.0,26,5,31002,26005031002,42.45948243240421,-85.98245115523626,0.0,25.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 311.01, Allegan County, Michigan",1623.0,1549.0,1341.0,0.0,0.0,0.0,0.0,0.0,3114.0,48.0,17.0,45.0,0.0,12.0,288.0,3524.0,945.0,243.0,37.2,1545.0,1545.0,1302.0,156300.0,2.64,,26,5,31101,6.895573212258797,0,248,205,267,108,127,0,0,955,438.422247446084,15.728155339805824,3524.0,26,5,31101,26005031101,42.4834877026337,-85.85739603411396,7.0,32.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 311.02, Allegan County, Michigan",1223.0,1039.0,857.0,0.0,0.0,0.0,0.0,0.0,2998.0,27.0,0.0,1.0,0.0,40.0,138.0,3204.0,918.0,588.0,46.4,1379.0,1379.0,1214.0,144800.0,2.57,,26,5,31102,18.352059925093634,30,101,160,209,129,85,0,0,714,430.3995006242197,11.965192168237854,3204.0,26,5,31102,26005031102,42.52723684064631,-85.81804345906139,4.0,4.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 312, Allegan County, Michigan",2128.0,1964.0,1788.0,0.0,0.0,0.0,0.0,0.0,4960.0,274.0,18.0,119.0,0.0,42.0,221.0,5634.0,1419.0,872.0,32.3,2204.0,2204.0,2091.0,140800.0,2.58,,26,5,31200,15.477458288959886,88,225,397,312,75,50,0,0,1147,391.1963081292155,5.127041742286751,5634.0,26,5,31200,26005031200,42.52971839023754,-85.84956394194188,68.0,48.0,,Somewhat Walkable,Somewhat Bikeable,
"Census Tract 313, Allegan County, Michigan",2223.0,2116.0,1988.0,0.0,3.0,0.0,0.0,0.0,4614.0,48.0,24.0,80.0,0.0,7.0,100.0,4873.0,1304.0,631.0,41.3,1941.0,1941.0,1807.0,166400.0,2.69,277908900.0,26,5,31300,12.948902113687666,116,123,443,375,108,102,0,0,1267,398.3172583624051,6.903657908294693,4873.0,26,5,31300,26005031300,42.55147627460366,-85.66214058937123,0.0,9.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 318, Allegan County, Michigan",2464.0,2302.0,2065.0,0.0,0.0,0.0,0.0,0.0,4644.0,49.0,7.0,7.0,0.0,0.0,581.0,5288.0,1353.0,246.0,40.7,2022.0,2022.0,1954.0,147900.0,2.7,266625900.0,26,5,31800,4.652042360060514,105,199,408,333,202,73,0,0,1320,382.375189107413,3.3630069238377844,5288.0,26,5,31800,26005031800,42.46455161364983,-85.73886182022468,0.0,25.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 319, Allegan County, Michigan",2096.0,2020.0,1708.0,0.0,0.0,0.0,0.0,0.0,3972.0,0.0,56.0,68.0,0.0,412.0,233.0,4741.0,1450.0,615.0,39.8,2209.0,2209.0,1886.0,138900.0,2.51,,26,5,31900,12.971946846656824,47,109,440,415,177,112,0,0,1300,465.93545665471424,14.622000905387052,4741.0,26,5,31900,26005031900,42.46428714307736,-85.6803527015261,1.0,20.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 320, Allegan County, Michigan",2488.0,2287.0,1698.0,0.0,0.0,0.0,0.0,0.0,5101.0,79.0,0.0,13.0,0.0,37.0,66.0,5296.0,1436.0,336.0,40.5,2142.0,2142.0,2086.0,154100.0,2.47,,26,5,32000,6.3444108761329305,100,217,467,304,102,63,0,0,1253,404.4561933534743,2.6143790849673203,5296.0,26,5,32000,26005032000,42.48331812807961,-85.60765857039259,0.0,25.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 321, Allegan County, Michigan",2110.0,1959.0,1842.0,0.0,10.0,0.0,0.0,0.0,4172.0,25.0,75.0,0.0,0.0,37.0,208.0,4517.0,1318.0,205.0,42.6,1828.0,1828.0,1717.0,195300.0,2.62,,26,5,32100,4.538410449413328,74,213,345,398,92,54,0,0,1176,404.6933805623201,6.072210065645514,4517.0,26,5,32100,26005032100,42.44271448940636,-85.59593150225997,0.0,14.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 322, Allegan County, Michigan",2622.0,2278.0,2103.0,0.0,0.0,0.0,0.0,0.0,4821.0,330.0,0.0,61.0,0.0,202.0,187.0,5601.0,1399.0,615.0,38.7,2571.0,2571.0,2163.0,186500.0,2.49,338908200.0,26,5,32200,10.98018211033744,187,275,391,477,73,78,0,0,1481,459.02517407605785,15.86931155192532,5601.0,26,5,32200,26005032200,42.76172490529985,-86.11707452871251,70.0,54.0,,Very Walkable,Bikeable,
"Census Tract 324.01, Allegan County, Michigan",768.0,658.0,600.0,4.0,0.0,0.0,0.0,0.0,1014.0,20.0,0.0,47.0,0.0,278.0,325.0,1684.0,432.0,218.0,34.7,672.0,672.0,654.0,104200.0,2.57,,26,5,32401,12.945368171021377,50,33,203,135,23,20,0,0,464,399.0498812351544,2.6785714285714284,1684.0,26,5,32401,26005032401,42.747228598250594,-86.08497967935338,3.0,34.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 324.02, Allegan County, Michigan",2058.0,1888.0,1827.0,0.0,0.0,0.0,0.0,0.0,3953.0,24.0,60.0,55.0,0.0,34.0,91.0,4217.0,1190.0,300.0,36.0,1601.0,1601.0,1464.0,235400.0,2.88,340518100.0,26,5,32402,7.11406212947593,32,167,332,368,97,117,0,0,1113,379.6537823096989,8.557151780137415,4217.0,26,5,32402,26005032402,42.712917432165234,-86.09552984627165,1.0,25.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 326, Allegan County, Michigan",672.0,590.0,555.0,0.0,0.0,0.0,0.0,0.0,1212.0,53.0,10.0,6.0,0.0,25.0,102.0,1408.0,430.0,170.0,52.1,758.0,758.0,669.0,198800.0,2.1,,26,5,32600,12.073863636363637,21,46,63,74,28,50,0,0,282,538.3522727272727,11.74142480211082,1408.0,26,5,32600,26005032600,42.76300618666507,-86.14905912202664,9.0,54.0,,Car-Dependent,Bikeable,
"Census Tract 9900, Allegan County, Michigan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,0.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0,26,5,990000,,0,0,0,0,0,0,0,0,0,,,0.0,26,5,990000,26005990000,42.59570079483404,-86.63472605944277,0.0,25.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 1.01, Alpena County, Michigan",458.0,439.0,417.0,0.0,0.0,0.0,0.0,0.0,1209.0,0.0,0.0,0.0,0.0,3.0,3.0,1215.0,363.0,189.0,54.9,885.0,885.0,557.0,112100.0,2.18,,26,7,101,15.555555555555555,15,59,53,85,26,60,0,0,298,728.395061728395,37.06214689265537,1215.0,26,7,101,26007000101,45.13671692207647,-83.7552621818614,0.0,27.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 1.02, Alpena County, Michigan",1143.0,1030.0,909.0,0.0,0.0,0.0,0.0,0.0,3165.0,2.0,4.0,0.0,0.0,4.0,110.0,3285.0,925.0,395.0,44.7,2000.0,2000.0,1246.0,113700.0,2.63,151341500.0,26,7,102,12.02435312024353,31,132,148,163,48,144,0,0,666,608.8280060882801,37.7,3285.0,26,7,102,26007000102,44.942992598970136,-83.72838121426705,0.0,12.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 2, Alpena County, Michigan",1799.0,1569.0,1488.0,0.0,0.0,0.0,0.0,0.0,3939.0,4.0,23.0,22.0,0.0,78.0,48.0,4114.0,1124.0,475.0,50.1,2160.0,2160.0,1607.0,116600.0,2.56,,26,7,200,11.545940690325716,150,178,203,278,110,149,0,2,1070,525.0364608653379,25.60185185185185,4114.0,26,7,200,26007000200,45.03591430511512,-83.58827409596017,0.0,25.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 3, Alpena County, Michigan",1522.0,1243.0,1200.0,0.0,7.0,0.0,0.0,0.0,3109.0,48.0,0.0,18.0,0.0,25.0,231.0,3431.0,926.0,340.0,51.0,2008.0,2008.0,1492.0,151900.0,2.2,,26,7,300,9.909647333139027,64,119,222,287,123,175,0,0,990,585.2521130865637,25.697211155378486,3431.0,26,7,300,26007000300,45.12322035390109,-83.38376798250086,0.0,25.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 4, Alpena County, Michigan",1404.0,1198.0,1034.0,0.0,37.0,0.0,0.0,0.0,2720.0,60.0,23.0,0.0,0.0,0.0,98.0,2901.0,549.0,553.0,42.0,1433.0,1433.0,1291.0,61100.0,2.21,,26,7,400,19.062392278524648,61,203,223,183,51,17,0,0,738,493.96759738021376,9.909281228192604,2901.0,26,7,400,26007000400,45.06802690958213,-83.41315979444046,21.0,50.0,,Car-Dependent,Bikeable,
"Census Tract 5, Alpena County, Michigan",763.0,603.0,582.0,0.0,9.0,0.0,0.0,0.0,1694.0,11.0,10.0,5.0,0.0,0.0,146.0,1866.0,485.0,555.0,40.7,1021.0,1021.0,899.0,73300.0,2.04,31665200.0,26,7,500,29.7427652733119,23,28,181,130,44,58,0,0,464,547.1596998928188,11.949069539666992,1866.0,26,7,500,26007000500,45.0656980406361,-83.45300878207713,35.0,67.0,,Car-Dependent,Bikeable,
"Census Tract 6, Alpena County, Michigan",1153.0,1116.0,1073.0,0.0,16.0,0.0,0.0,0.0,2964.0,31.0,4.0,74.0,0.0,0.0,38.0,3111.0,772.0,405.0,48.9,1527.0,1527.0,1377.0,151300.0,2.12,,26,7,600,13.018322082931531,40,119,240,195,30,68,0,0,692,490.8389585342333,9.823182711198427,3111.0,26,7,600,26007000600,45.10327731818113,-83.49282807648687,0.0,30.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 7, Alpena County, Michigan",1180.0,1135.0,1069.0,0.0,10.0,0.0,0.0,0.0,2874.0,11.0,0.0,17.0,0.0,0.0,116.0,3018.0,787.0,632.0,48.1,1286.0,1286.0,1254.0,99700.0,2.39,118138500.0,26,7,700,20.941020543406232,36,165,173,190,30,77,0,0,671,426.11000662690526,2.488335925349922,3018.0,26,7,700,26007000700,45.04226663511253,-83.51538040282816,0.0,28.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 8, Alpena County, Michigan",1435.0,1228.0,1181.0,0.0,0.0,0.0,0.0,0.0,3243.0,2.0,0.0,0.0,0.0,0.0,44.0,3289.0,848.0,406.0,46.5,1800.0,1800.0,1652.0,108900.0,1.98,,26,7,800,12.344177561568866,17,39,385,126,61,71,0,0,699,547.2788081483733,8.222222222222223,3289.0,26,7,800,26007000800,45.05419871613829,-83.44798093626399,58.0,48.0,,Somewhat Walkable,Somewhat Bikeable,
"Census Tract 9, Alpena County, Michigan",966.0,821.0,764.0,0.0,10.0,0.0,0.0,0.0,2546.0,22.0,0.0,5.0,25.0,23.0,62.0,2683.0,761.0,279.0,54.0,1562.0,1562.0,1209.0,125700.0,2.21,150545100.0,26,7,900,10.398807305255312,8,78,105,221,60,143,0,0,615,582.1841222512114,22.59923175416133,2683.0,26,7,900,26007000900,44.93367589048011,-83.41155957254611,1.0,25.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 9900, Alpena County, Michigan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,0.0,0.0,0.0,-666666666.0,-666666666.0,-666666666.0,26,7,990000,,0,0,0,0,0,0,0,0,0,,,0.0,26,7,990000,26007990000,45.02864588733111,-82.90160511412314,0.0,25.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 9601, Antrim County, Michigan",1227.0,1098.0,1002.0,0.0,0.0,0.0,0.0,0.0,2658.0,16.0,22.0,2.0,0.0,0.0,60.0,2758.0,859.0,157.0,53.2,2128.0,2128.0,1192.0,188000.0,2.28,326505300.0,26,9,960100,5.692530819434373,36,116,198,213,89,121,0,0,773,771.5736040609137,43.98496240601504,2758.0,26,9,960100,26009960100,45.13687752139289,-85.32222156480259,0.0,20.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 9602, Antrim County, Michigan",1423.0,1195.0,1063.0,6.0,2.0,0.0,0.0,0.0,2967.0,0.0,64.0,24.0,0.0,19.0,83.0,3157.0,1001.0,243.0,50.3,1978.0,1978.0,1345.0,137600.0,2.35,239930300.0,26,9,960200,7.697180867912576,69,119,205,242,62,130,0,0,827,626.5441875197972,32.00202224469161,3157.0,26,9,960200,26009960200,45.03933463865676,-85.02598844790228,0.0,8.0,,Car-Dependent,Somewhat Bikeable,
"Census Tract 9603, Antrim County, Michigan",1139.0,966.0,803.0,0.0,2.0,0.0,0.0,0.0,2725.0,1.0,16.0,4.0,0.0,4.0,76.0,2826.0,843.0,302.0,54.8,2251.0,2251.0,1240.0,166300.0,2.27,295509100.0,26,9,960300,10.686482661004954,30,66,156,181,56,125,0,0,614,796.5322009907997,44.91337183474012,2826.0,26,9,960300,26009960300,45.03843051972358,-85.26852009611774,0.0,2.0,,Car-Dependent,Somewhat Bikeable,
